"Dam_Name","Dam_Level","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","83%","2023-07-18 07:10:44",2023-07-18
"Blue Mountains Dams","83%","2023-07-18 07:10:44",2023-07-18
"Cataract Dam","67%","2023-07-18 07:10:44",2023-07-18
"Cordeaux Dam","82%","2023-07-18 07:10:44",2023-07-18
"Fitzroy Falls Reservoir","65%","2023-07-18 07:10:44",2023-07-18
"Nepean Dam","76%","2023-07-18 07:10:44",2023-07-18
"Prospect Reservoir","92%","2023-07-18 07:10:44",2023-07-18
"Tallowa Dam","66%","2023-07-18 07:10:44",2023-07-18
"Warragamba Dam","96%","2023-07-18 07:10:44",2023-07-18
"Wingecarribee Reservoir","69%","2023-07-18 07:10:44",2023-07-18
"Woronora Dam","96%","2023-07-18 07:10:44",2023-07-18
