Variable,daily_value,Data_Collection_Time_UTC,Collection_Date
Avon Dam,83%,2023-07-22 07:14:53,2023-07-22
Blue Mountains Dams,82%,2023-07-22 07:14:53,2023-07-22
Cataract Dam,67%,2023-07-22 07:14:53,2023-07-22
Cordeaux Dam,82%,2023-07-22 07:14:53,2023-07-22
Fitzroy Falls Reservoir,64%,2023-07-22 07:14:53,2023-07-22
Nepean Dam,76%,2023-07-22 07:14:53,2023-07-22
Prospect Reservoir,92%,2023-07-22 07:14:53,2023-07-22
Tallowa Dam,59%,2023-07-22 07:14:53,2023-07-22
Warragamba Dam,96%,2023-07-22 07:14:53,2023-07-22
Wingecarribee Reservoir,69%,2023-07-22 07:14:53,2023-07-22
Woronora Dam,96%,2023-07-22 07:14:53,2023-07-22
How Much Rain have We had?,0.3MM,2023-07-22 07:14:53,2023-07-22
How Much Water is in Our Dams?,93%,2023-07-22 07:14:53,2023-07-22
How Much Water have we Used,"1,358ML",2023-07-22 07:14:53,2023-07-22
