"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","78%","2023-10-17 07:15:56",2023-10-17
"Blue Mountains Dams","85%","2023-10-17 07:15:56",2023-10-17
"Cataract Dam","66%","2023-10-17 07:15:56",2023-10-17
"Cordeaux Dam","66%","2023-10-17 07:15:56",2023-10-17
"Fitzroy Falls Reservoir","66%","2023-10-17 07:15:56",2023-10-17
"Nepean Dam","72%","2023-10-17 07:15:56",2023-10-17
"Prospect Reservoir","78%","2023-10-17 07:15:56",2023-10-17
"Tallowa Dam","13%","2023-10-17 07:15:56",2023-10-17
"Warragamba Dam","94%","2023-10-17 07:15:56",2023-10-17
"Wingecarribee Reservoir","63%","2023-10-17 07:15:56",2023-10-17
"Woronora Dam","91%","2023-10-17 07:15:56",2023-10-17
"How Much Rain have We had?","3.9MM","2023-10-17 07:15:56",2023-10-17
"How Much Water is in Our Dams?","89%","2023-10-17 07:15:56",2023-10-17
"How Much Water have we Used","1,589ML","2023-10-17 07:15:56",2023-10-17
