"Variable","daily_value","Data_Collection_Time_UTC","Collection_Date"
"Avon Dam","77%","2023-12-09 07:10:48",2023-12-09
"Blue Mountains Dams","87%","2023-12-09 07:10:48",2023-12-09
"Cataract Dam","69%","2023-12-09 07:10:48",2023-12-09
"Cordeaux Dam","64%","2023-12-09 07:10:48",2023-12-09
"Fitzroy Falls Reservoir","67%","2023-12-09 07:10:48",2023-12-09
"Nepean Dam","72%","2023-12-09 07:10:48",2023-12-09
"Prospect Reservoir","85%","2023-12-09 07:10:48",2023-12-09
"Tallowa Dam","100%","2023-12-09 07:10:48",2023-12-09
"Warragamba Dam","92%","2023-12-09 07:10:48",2023-12-09
"Wingecarribee Reservoir","62%","2023-12-09 07:10:48",2023-12-09
"Woronora Dam","90%","2023-12-09 07:10:48",2023-12-09
"How Much Rain have We had?","0.3MM","2023-12-09 07:10:48",2023-12-09
"How Much Water is in Our Dams?","88%","2023-12-09 07:10:48",2023-12-09
"How Much Water have we Used","1,401ML","2023-12-09 07:10:48",2023-12-09
